NARMAX Grid Search — Ball-and-Beam  (n_terms=10 fixed)
Experiment: multisine_05  Ts=0.0500s  train=550 / test=551 samples
NY ∈ [1, 2, 3, 4, 5]   NU ∈ [1, 2, 3, 4, 5]   POLY_ORDER ∈ [1, 2, 3]

All configurations — sorted by FR R² (descending)
+------+------+-------+---------+------------+------------+------------+
|  ny  |  nu  |  ord  |  #cand  |   OSA_tr   |   OSA_te   |   FR_tr    |
+------+------+-------+---------+------------+------------+------------+
|  2   |  2   |   3   |    35   |   0.9970   |   0.9964   |   0.8815   |
|  1   |  3   |   3   |    35   |   0.9967   |   0.9961   |   0.8661   |
|  2   |  1   |   3   |    20   |   0.9969   |   0.9965   |   0.8471   |
|  2   |  3   |   3   |    56   |   0.9969   |   0.9962   |   0.8429   |
|  2   |  4   |   3   |    84   |   0.9969   |   0.9962   |   0.8378   |
|  4   |  2   |   3   |    84   |   0.9969   |   0.9961   |   0.8311   |
|  3   |  2   |   3   |    56   |   0.9969   |   0.9965   |   0.8272   |
|  5   |  2   |   3   |   120   |   0.9969   |   0.9961   |   0.8251   |
|  3   |  4   |   3   |   120   |   0.9969   |   0.9966   |   0.8239   |
|  2   |  5   |   3   |   120   |   0.9969   |   0.9963   |   0.8206   |
|  3   |  3   |   3   |    84   |   0.9969   |   0.9965   |   0.8202   |
|  1   |  2   |   3   |    20   |   0.9966   |   0.9959   |   0.8150   |
|  3   |  5   |   2   |    45   |   0.9958   |   0.9963   |   0.8038   |
|  4   |  5   |   2   |    55   |   0.9958   |   0.9963   |   0.8038   |
|  3   |  5   |   3   |   165   |   0.9969   |   0.9965   |   0.8027   |
|  2   |  5   |   2   |    36   |   0.9959   |   0.9962   |   0.8000   |
|  3   |  1   |   3   |    35   |   0.9969   |   0.9966   |   0.7992   |
|  5   |  4   |   2   |    55   |   0.9958   |   0.9963   |   0.7930   |
|  3   |  4   |   2   |    36   |   0.9958   |   0.9963   |   0.7914   |
|  4   |  4   |   2   |    45   |   0.9958   |   0.9963   |   0.7914   |
|  2   |  4   |   2   |    28   |   0.9959   |   0.9962   |   0.7862   |
|  4   |  3   |   2   |    36   |   0.9958   |   0.9962   |   0.7658   |
|  4   |  5   |   3   |   220   |   0.9969   |   0.9965   |   0.7617   |
|  5   |  5   |   3   |   286   |   0.9969   |   0.9965   |   0.7617   |
|  5   |  2   |   2   |    36   |   0.9957   |   0.9962   |   0.7582   |
|  5   |  3   |   2   |    45   |   0.9958   |   0.9962   |   0.7531   |
|  3   |  5   |   1   |    9    |   0.9957   |   0.9960   |   0.7425   |
|  2   |  1   |   1   |    4    |   0.9953   |   0.9961   |   0.7408   |
|  5   |  5   |   2   |    66   |   0.9958   |   0.9962   |   0.7357   |
|  5   |  3   |   1   |    9    |   0.9956   |   0.9960   |   0.7338   |
|  4   |  1   |   3   |    56   |   0.9969   |   0.9965   |   0.7322   |
|  4   |  5   |   1   |    10   |   0.9957   |   0.9960   |   0.7290   |
|  4   |  3   |   1   |    8    |   0.9956   |   0.9960   |   0.7288   |
|  1   |  5   |   2   |    28   |   0.9951   |   0.9960   |   0.7231   |
|  1   |  4   |   2   |    21   |   0.9951   |   0.9960   |   0.7210   |
|  5   |  1   |   3   |    84   |   0.9969   |   0.9965   |   0.7206   |
|  5   |  1   |   1   |    7    |   0.9954   |   0.9961   |   0.7205   |
|  3   |  4   |   1   |    8    |   0.9957   |   0.9960   |   0.7160   |
|  3   |  2   |   2   |    21   |   0.9957   |   0.9961   |   0.7138   |
|  2   |  5   |   1   |    8    |   0.9956   |   0.9960   |   0.7117   |
|  4   |  4   |   1   |    9    |   0.9957   |   0.9960   |   0.7115   |
|  5   |  4   |   1   |    10   |   0.9956   |   0.9960   |   0.6980   |
|  3   |  1   |   1   |    5    |   0.9954   |   0.9961   |   0.6876   |
|  2   |  4   |   1   |    7    |   0.9956   |   0.9960   |   0.6861   |
|  4   |  1   |   1   |    6    |   0.9954   |   0.9961   |   0.6850   |
|  5   |  2   |   1   |    8    |   0.9956   |   0.9960   |   0.6783   |
|  2   |  2   |   1   |    5    |   0.9955   |   0.9960   |   0.6718   |
|  5   |  5   |   1   |    11   |   0.9957   |   0.9960   |   0.6699   |
|  3   |  2   |   1   |    6    |   0.9955   |   0.9960   |   0.6655   |
|  3   |  3   |   1   |    7    |   0.9956   |   0.9960   |   0.6595   |
|  1   |  5   |   3   |    84   |   0.9967   |   0.9951   |   0.6353   |
|  2   |  3   |   1   |    6    |   0.9956   |   0.9960   |   0.6135   |
|  4   |  2   |   1   |    7    |   0.9955   |   0.9960   |   0.6062   |
|  2   |  1   |   2   |    10   |   0.9957   |   0.9961   |   0.5911   |
